stdno,allowedunits,currentunitsenlisted
2014-48521,21,21
2013-75063,12,11
2014-98719,19,19
2011-97365,21,21
2010-42291,20,18
2007-51754,0,0
2014-72716,18,18
2014-20366,19,18
2013-72470,21,21
2014-66202,20,19
2012-19888,12,11
2012-17641,20,15
2012-54690,21,20
2010-38091,12,11
2013-98450,0,0
2012-38391,17,17
2014-32838,20,19
1997-12893,0,0
2008-36944,10,8
2012-07254,17,12
2012-37929,18,3
2011-10311,17,3
2013-19452,23,23
2013-30778,20,20
2010-18264,18,1
2009-31831,17,9
2011-62103,17,15
2012-48773,19,17
2012-49627,23,12
2013-06545,21,18
2014-71495,18,17
2010-39260,18,12
2011-60620,19,7
2013-68118,21,21
2014-68078,17,17
2013-47413,15,14
2011-19347,18,12
2012-37801,17,15
2014-72378,19,19
2014-43078,21,19
2010-28262,21,7
1988-38462,0,0
2012-61931,18,13
2014-01873,18,17
2013-98307,18,12
2012-51985,19,19
2014-01013,19,19
2012-18220,18,18
2012-71788,21,20
2011-08373,18,13
2010-04134,19,0
1985-01644,0,0
2013-09759,21,21
2014-71578,20,20
2012-15400,17,15
2014-05830,20,20
2014-71300,17,17
2013-22433,17,16
2013-28089,18,18
2013-68134,0,0
2013-08150,20,20
2014-47556,17,15
2007-38305,0,0
2010-14531,16,0
2012-18895,18,9
2012-27648,21,15
2009-04284,18,3
2014-04410,18,16
2013-27636,21,21
2010-39396,19,0
2009-03670,20,13
2012-22919,18,13
2012-53437,21,0
2012-20684,19,15
2014-81600,18,18
2014-98792,19,19
2013-16518,12,10
2012-37629,18,15
2012-66471,21,20
1979-91707,0,0
2011-97493,18,18
2014-99266,0,0
2010-81352,21,20
2007-66021,0,0
2009-21756,16,0
2007-16425,0,0
2013-55234,20,20
2013-10875,17,15
2011-20540,15,10
2014-62909,20,20
2012-22545,19,19
2014-30545,18,18
2014-57097,19,18
2012-63761,17,17
2014-98729,18,18
2010-08888,18,3
2008-09804,21,12
2013-07718,15,15
1992-36364,0,0
2009-33275,19,7
2011-44182,20,0
2011-24750,19,3
2009-01653,21,10
2011-31777,20,20
2012-64422,21,12
2014-50122,20,19
2013-57766,18,18
2007-58691,20,6
2012-11664,18,18
2012-74503,20,18
2014-48607,19,19
2010-59622,20,2
2013-74123,18,18
2013-06918,21,19
2010-42562,19,8
2013-09127,18,18
2013-06629,18,18
2012-19719,18,18
1998-40777,0,0
2012-65294,18,0
2011-46458,21,0
2014-39609,17,16
2011-21366,20,3
2011-47792,19,13
2011-31181,21,21
2014-23095,19,19
2014-99194,0,0
2014-65245,18,18
2012-05087,19,19
2014-33667,18,18
2011-58185,12,6
2014-09290,19,17
2013-65185,20,20
2012-64712,19,13
2009-30439,18,12
2006-51150,0,0
2012-42263,21,0
2014-21978,17,16
2014-72379,18,18
2013-05901,18,15
2012-55892,20,11
2011-10738,21,12
2012-19683,21,21
2009-38351,20,9
2014-35925,20,18
2013-24246,20,18
2012-97777,21,0
2012-05250,18,18
2006-34132,16,0
2010-67359,18,18
2012-98078,0,0
2012-98126,0,0
2014-99044,0,0
2014-98977,0,0
2012-98123,0,0
2012-17617,20,20
2014-15674,17,17
2014-15287,18,18
2014-09483,17,17
2012-17642,18,18
2009-26292,0,0
2013-08983,20,20
2013-35042,18,0
2012-20524,12,12
2010-42819,12,11
2012-55535,20,16
2011-97525,19,0
2012-98043,0,0
2009-32424,19,8
2013-98489,0,0
2014-09428,20,20
2014-98850,16,13
2013-36202,18,18
2013-98492,0,0
2011-30854,19,10
2014-70541,18,18
2012-44509,21,9
2012-18156,21,0
2013-06294,21,21
2013-09035,21,19
2014-71942,19,19
2011-62299,18,18
2014-00842,19,18
2013-13897,21,15
2012-06721,18,18
2010-41374,21,13
2011-45254,19,15
2013-26033,18,0
2013-26471,18,0
2011-16324,19,13
1986-08357,0,0
2011-25138,21,21
2011-00496,18,6
2010-42362,21,15
2013-29903,21,21
2011-65171,15,0
2012-97780,21,0
2000-47922,0,0
2008-01288,21,17
2010-24949,15,14
2013-08991,20,18
2013-26686,18,18
2014-41001,20,19
2013-72471,23,23
2010-19899,20,19
2011-01647,17,15
2010-11982,21,3
1992-02246,0,0
2012-04432,19,17
2013-13674,21,21
2013-16206,18,18
2013-08151,15,14
2013-98448,0,0
2012-16635,20,18
2014-83596,21,18
2013-98522,0,0
2011-51437,12,11
2011-59842,15,15
2012-59324,19,18
2011-71973,19,9
2011-62615,20,20
2014-24815,20,20
2009-09815,20,18
2013-20452,21,21
2014-19251,18,18
2004-40199,0,0
2012-20694,17,15
2014-13665,21,20
2012-63515,18,18
2013-46029,21,21
2013-00483,18,18
2009-35019,19,3
2014-71455,18,18
2013-39714,20,20
2011-32758,21,18
2012-47273,18,14
2012-44927,18,18
2010-64361,16,13
2013-38925,20,20
2013-22584,18,18
2013-03200,21,19
2011-00111,20,19
2012-20396,19,16
2008-23331,13,0
2012-53457,20,20
2014-38451,20,19
2014-01929,19,19
2006-61850,16,0
2014-30927,17,17
2012-40205,18,19
2014-18476,20,20
2014-00242,19,19
2014-62615,19,18
2011-21494,19,17
2010-44260,16,0
1998-94655,0,0
2014-20125,18,17
2014-77855,20,20
2013-12703,21,21
2014-72326,19,18
2014-72717,17,17
2014-23192,18,18
2013-21658,21,21
2010-58525,15,6
2013-68212,18,15
2000-49990,0,0
2014-71579,19,19
2002-71801,0,0
2011-45369,20,8
2013-07740,18,18
2012-97912,21,19
2010-36491,12,12
2012-68655,21,19
2013-39008,18,18
2014-04843,17,17
2008-12230,21,21
2013-21575,12,11
2014-63563,19,19
2014-99184,18,18
2013-23845,20,18
2014-15628,20,20
2010-43453,15,15
2011-57921,21,19
2010-52460,15,14
2014-99258,0,0
2012-44847,18,6
2012-63537,21,21
2014-36489,19,19
2012-97803,15,0
2012-33499,21,21
2011-08208,19,12
2014-26930,20,20
2013-16795,21,21
2012-40983,19,17
2012-60431,19,15
2014-41059,19,19
2010-43124,21,19
2008-37631,21,20
2011-49194,18,16
2013-00300,18,18
2013-68101,18,18
2010-03743,16,0
2014-60016,19,19
2002-43460,0,0
2007-17339,19,9
2014-10144,18,18
2009-62949,16,0
2011-62971,18,0
2012-05849,21,20
2014-43249,18,18
2006-36854,21,18
2002-96526,0,0
2011-15124,12,11
2013-98526,0,0
2014-26044,19,19
2012-37630,21,21
2013-74095,18,18
2012-19077,21,21
2013-08147,18,18
2010-23343,19,0
2012-29562,18,18
2010-42529,18,1
2014-00587,18,16
2014-39822,18,18
2011-01293,19,17
2014-50917,18,18
2014-72712,18,18
2014-35488,19,19
2011-22419,18,11
2013-12650,19,17
2014-71754,17,17
2013-21632,18,18
2014-71180,21,21
2004-39143,0,0
2002-31864,0,0
2013-60635,15,0
2009-61090,18,3
2014-98787,19,18
2012-03692,19,17
2014-47646,19,19
2014-78639,19,17
2014-09237,18,18
2014-72556,18,18
2014-72557,18,18
2012-50607,18,17
2012-38393,18,3
1992-43413,0,0
2011-21901,18,6
2010-56810,19,18
2009-34853,16,3
2010-51246,17,3
2008-37678,19,18
2013-98211,16,6
2013-09339,19,17
2011-44364,19,6
2011-63001,12,9
2014-60874,20,18
2013-06791,17,17
2009-25995,16,3
2012-40236,21,20
2012-16982,21,21
2012-19218,12,12
2014-01108,21,20
2013-09230,15,13
2010-28415,16,0
2009-96834,0,0
2013-98210,16,9
2014-21775,18,18
2010-96905,21,14
2012-18587,18,18
2012-37194,17,15
2012-98132,21,21
2014-04199,17,17
2012-27016,18,3
2013-07390,18,18
2014-31227,21,20
2013-98625,17,17
2009-48430,12,12
2013-36626,21,19
2010-52359,18,1
2013-98420,18,18
2013-40598,18,18
2014-72646,17,17
2014-26566,18,18
2011-01274,19,9
2014-20484,21,21
2012-98000,0,0
2014-41815,21,21
2012-98071,0,0
2014-08522,19,19
2014-99107,0,0
2014-99100,0,0
2013-01637,18,18
2014-99222,0,0
2014-42343,18,18
2014-35706,18,18
2014-66208,19,19
2013-98616,0,0
2012-19855,21,21
2013-98583,0,0
2012-57578,21,19
2014-72647,18,18
2009-96789,0,0
2014-05755,17,17
2013-98422,21,21
2014-50468,18,18
2012-18163,19,17
1975-08690,0,0
2014-72718,18,18
2009-17306,20,20
2013-09813,18,18
2010-40780,17,3
2014-23548,19,19
2012-10225,19,18
2011-97581,0,0
2008-08512,0,0
2012-17753,18,18
2014-99269,0,0
2014-25883,18,18
2014-98851,12,10
2012-30361,18,9
2012-24680,19,18
2011-55178,19,13
2011-22301,21,21
2014-46342,20,20
2011-11132,17,3
2011-65350,21,16
2011-21392,19,1
2014-32919,20,19
2014-48606,20,20
2013-06962,18,18
2011-97496,21,21
2009-17552,19,12
2013-98309,18,15
2014-64370,20,20
2014-60789,20,20
2013-50567,18,18
2014-99245,0,0
2008-23691,21,15
2009-26390,16,0
2014-08145,19,19
2008-14852,20,9
2005-32438,0,0
2012-12815,18,18
2013-56967,19,17
2012-98164,0,0
2014-19188,19,18
2013-24023,18,18
2013-01166,20,17
2012-50501,19,19
2013-49461,12,8
2014-43918,18,18
2012-50500,18,18
2013-68213,18,0
2014-10207,18,15
2011-20003,16,0
2011-28179,15,0
2010-10077,17,15
2012-98193,20,20
2004-29217,0,0
2011-19212,21,0
2014-12713,18,18
2014-26767,18,18
2012-39585,17,15
2011-12778,16,5
2010-00386,17,6
2013-98472,0,0
1998-08985,0,0
2013-01116,18,18
2013-68060,19,19
2013-98674,18,18
2011-97367,21,21
2014-41054,20,20
2014-25659,18,18
2014-66989,20,20
2012-17079,18,6
2011-06709,21,9
2010-41429,15,15
2014-30034,20,19
2013-09822,18,0
2014-01222,17,17
2011-18666,21,20
2010-97278,21,21
2006-00842,17,0
2014-20132,20,20
2014-01291,18,18
2012-18162,18,18
2013-08482,18,18
2014-09284,19,19
2014-98705,18,18
2013-70461,20,20
2011-00061,20,19
2011-06596,20,16
2010-41962,19,7
2012-14183,19,19
2014-44101,15,14
2014-03812,18,18
1992-40146,0,0
2008-00609,20,3
2013-37757,20,20
2011-22405,12,8
2013-60513,17,17
2010-19362,19,0
2012-18557,19,18
2014-24037,18,18
2014-42466,18,18
2013-16387,18,18
2013-21543,20,19
2012-03542,15,14
2013-44939,18,18
2011-15726,21,17
1971-90312,0,0
2007-42306,0,0
2012-26593,20,20
2013-48366,18,18
2012-26065,18,15
2012-61608,19,17
2013-18391,18,18
2014-26769,18,18
2009-46416,18,4
2011-48644,17,0
2012-07314,21,6
2014-42881,17,17
2012-29601,21,19
2010-48645,21,16
2013-21903,17,16
2013-40611,21,21
2013-14925,20,20
2012-98100,0,0
2012-47165,17,15
2013-16892,21,21
2008-18826,19,3
2014-52474,19,18
2008-81159,0,0
2014-08108,18,18
2012-38580,18,17
2010-41748,18,1
2007-10929,0,0
2014-82419,21,21
2007-02355,18,6
2011-48901,15,15
2012-37666,18,12
2012-55388,21,13
2014-99247,0,0
2013-29919,21,21
2013-06919,21,21
2014-09404,18,18
2009-06231,18,9
2008-36723,18,3
2007-45107,17,12
2006-35485,19,0
2013-30366,19,19
2012-40361,17,15
2014-98927,18,17
2002-55809,0,0
2010-45202,18,0
2011-25221,15,15
2013-98637,0,0
2006-35039,15,6
2013-98310,18,18
2013-35995,21,19
2014-09507,18,18
2013-07918,18,18
2009-96846,0,0
2014-09681,18,18
2013-41468,23,22
2014-09231,18,18
2011-62111,18,0
2014-72687,17,17
2014-45867,19,19
2014-72447,18,18
2011-38753,17,9
2011-47381,20,6
2013-11602,21,21
2014-04201,19,19
2012-76364,19,18
2011-31261,19,18
2007-46855,19,0
2013-58942,18,18
2014-99058,0,0
2013-15247,21,21
2013-09902,18,18
2014-99244,0,0
2013-73535,21,20
2011-21850,20,13
2011-07598,19,12
2011-13834,20,18
1997-40808,0,0
2012-62900,19,17
2014-48834,18,18
2011-00388,16,3
2012-46665,19,17
2014-53688,17,17
2014-01064,20,19
2010-00302,18,1
2014-09548,18,18
2013-70273,20,17
1996-66335,0,0
2013-01192,23,23
2012-04450,19,13
2014-98971,0,0
2012-07419,17,15
2010-12831,20,12
2010-96906,21,14
2014-47605,19,19
2014-33294,17,17
2011-07781,16,15
2014-25671,19,19
2014-99220,0,0
2014-99010,0,0
2012-01003,19,19
2013-21074,21,21
2013-07304,18,18
2014-98852,16,16
2009-37814,16,0
2006-03757,17,0
2013-98311,19,16
2013-03554,20,17
2010-19900,16,6
2014-41097,17,17
2012-21581,15,14
2012-45774,21,18
2012-19953,21,15
2012-19746,17,17
2011-63022,21,12
2011-18528,19,0
2011-65522,16,0
2012-52760,12,12
2011-38807,19,0
2013-98627,18,18
2014-42411,20,20
2008-19247,18,9
2008-40801,19,3
2013-27392,18,18
2014-23195,17,17
2009-48784,18,0
2011-22460,12,12
2013-40216,19,12
2013-45586,18,18
2013-98572,0,0
2010-19198,19,0
2007-59303,16,11
2012-62901,15,15
2004-68039,0,0
2011-62101,18,18
2014-68152,19,17
2009-48482,20,19
2013-05723,18,15
2010-97038,12,9
2012-11293,17,15
2001-43578,19,0
2010-10696,18,9
2009-36737,16,0
2014-04062,18,18
2008-43725,0,0
2014-69414,19,19
2013-09294,18,18
2011-55628,18,0
2014-98765,19,19
2001-46860,0,0
2013-21879,18,17
2013-40830,21,21
2012-10441,18,13
2014-33386,18,18
2013-03613,20,20
2010-97198,0,0
2014-00281,20,20
2013-07989,21,21
2012-03084,18,18
2009-37816,19,0
1999-27512,0,0
2012-03576,18,12
2012-51081,12,11
2007-37830,0,0
2014-20628,18,15
2014-98853,12,10
2011-48825,16,0
2014-98944,0,0
2011-63362,18,6
2014-98756,18,18
2014-71143,18,18
2012-63586,19,19
2011-13625,18,7
2005-46192,18,12
2013-28554,18,0
2013-08095,18,15
2014-99267,0,0
2004-43086,0,0
2011-53912,18,15
2014-61140,18,18
2011-27400,21,0
2014-98999,0,0
2012-15453,15,13
2011-53949,21,0
2011-97675,21,16
2012-40480,17,15
2014-62682,18,18
2012-10053,17,15
2013-98474,0,0
2011-30865,17,9
2013-23231,19,17
2010-16193,17,0
2013-21926,18,18
2010-14883,21,15
2014-63749,19,18
2014-07855,19,19
2012-03203,19,13
2014-66838,20,20
2011-10240,20,6
2014-98830,18,18
2012-18276,20,18
2011-01636,20,13
2010-40068,19,9
2014-07856,15,11
2013-72378,18,18
2014-23549,18,18
2014-05930,17,17
2012-02323,20,12
2012-07496,18,18
2013-20972,18,18
2013-69831,18,12
2014-98781,18,16
2012-05172,18,18
2013-50499,18,0
2010-55219,12,12
2014-14719,18,18
2013-60228,19,17
2006-61271,21,14
1995-44351,0,0
2014-98854,16,16
2010-67138,16,3
2013-32757,19,19
2012-17129,19,19
2013-98620,0,0
2010-42117,19,6
2009-17591,18,0
2013-09965,20,20
2013-06998,21,21
2014-05352,18,18
2013-39007,21,18
2011-47943,18,0
2012-10671,21,20
2012-22867,18,3
2011-35661,21,20
2014-73184,18,18
2011-22604,18,15
2009-24966,19,6
2013-23760,15,13
2012-02593,17,15
2010-20046,20,6
2011-62100,19,0
2007-32110,21,13
2014-71823,20,18
2013-24834,20,20
2012-10110,20,18
2014-60877,20,20
2003-96566,0,0
2014-09241,20,19
2009-51873,21,14
2012-19180,18,12
2012-47202,17,15
2014-38323,18,18
2014-99136,0,0
2014-27093,18,18
2013-29175,20,18
2014-45808,18,18
2010-51898,13,0
2014-20837,18,18
2013-11533,21,21
2014-12090,18,17
2014-05650,17,14
2007-65553,0,0
2012-32520,21,7
2014-04205,21,21
2010-52879,19,3
2014-45786,18,18
2013-08197,18,18
2013-64457,18,18
2014-72558,18,18
2013-29955,21,21
2014-25471,19,17
2010-29039,21,9
2012-17517,18,18
2014-63293,19,19
2014-98941,0,0
2014-04067,18,18
2013-20174,18,17
2013-06589,21,20
2014-08780,18,18
2014-98959,0,0
2011-46464,20,19
2000-99341,0,0
2014-08826,22,17
2013-02818,23,23
2013-04652,18,18
2011-13088,19,0
2011-19545,18,13
2014-09006,18,18
2014-71680,15,15
2012-04547,15,3
2014-04863,18,18
2010-04327,20,17
2013-22341,23,23
2011-17734,19,12
2007-32002,19,9
2009-26255,21,11
2012-16655,18,18
2014-40063,18,18
2011-18416,21,21
2011-18434,23,22
2013-01318,18,18
2009-31982,18,18
2014-98855,16,16
2014-24329,20,20
2011-34294,19,4
2012-29955,19,18
2014-98964,0,0
2010-70012,18,0
2005-44193,0,0
2002-69668,0,0
2011-53005,17,6
2011-21476,15,15
2012-20744,21,21
2014-57762,18,18
2013-00492,20,17
2011-65167,21,9
2014-80637,19,19
2013-56854,18,18
2011-62512,24,16
2010-14085,18,18
2013-68116,19,19
2011-62920,16,3
2014-70749,19,19
2013-09742,18,16
2012-38394,12,10
2013-11737,21,21
2010-36532,19,3
2012-34540,15,14
2013-15674,18,18
2014-56474,18,18
2012-17514,23,23
2010-31066,15,0
2014-48635,21,21
2005-46407,0,0
2013-44831,21,19
2013-22837,21,21
2013-10033,12,12
2014-28366,20,20
2013-16983,21,19
2013-42613,21,21
2012-53764,19,15
2014-00138,19,19
2014-64965,19,19
2011-97372,12,4
2014-75248,17,17
2013-41572,18,17
2011-00057,19,12
2008-96339,21,12
2008-67282,0,0
2014-29182,18,18
2014-28999,19,19
2006-35596,0,0
2006-95844,0,0
2013-32186,21,21
2013-36743,23,20
2011-00344,21,21
2014-41632,20,18
2011-03745,16,0
2014-71736,18,18
2012-41909,18,18
2009-96691,21,21
2008-66890,0,0
2014-20880,19,19
2014-99200,0,0
2011-97371,16,10
2008-12837,19,0
2012-00597,19,19
2002-44246,0,0
2014-31617,18,18
2011-53100,20,12
2009-20283,21,21
2014-26694,17,17
2008-10433,17,0
2014-12210,18,18
2014-62761,19,17
2005-47056,0,0
2011-17201,18,0
2013-08509,18,17
2012-48138,21,21
2013-21633,18,18
2014-23280,22,3
2012-62043,20,19
2013-14753,18,0
2014-72383,17,17
2004-39599,0,0
2013-06525,20,20
2012-13522,19,18
2011-21568,13,0
2014-98856,16,16
2009-14530,18,0
2014-98995,0,0
2013-40214,18,18
2010-43444,16,3
2013-98439,18,18
2006-38322,18,0
2000-48545,0,0
2013-98312,18,18
2011-33604,19,18
2011-11831,19,10
2006-39692,19,17
2012-97916,23,15
2010-45673,18,3
2012-01622,12,11
2014-30096,20,18
2009-28503,19,0
2013-43504,18,18
2010-19942,18,3
2009-37818,0,0
2014-71907,20,18
2012-31726,21,21
2013-60222,19,17
2009-17577,15,14
2013-08999,18,18
2011-01633,21,20
1975-21530,0,0
2013-09000,18,18
2013-74164,20,19
2007-53742,0,0
2012-38190,20,20
2006-14321,19,0
2013-61746,20,18
2011-27255,20,22
2014-43750,19,19
2010-53500,19,8
2011-48025,21,19
2012-10034,19,17
2010-00249,15,3
2014-23200,18,18
2013-98313,20,19
2011-64237,18,12
2008-43360,21,21
2014-52089,21,21
1998-58906,0,0
2012-41959,21,14
2012-17585,20,19
2014-09835,18,18
2013-07992,15,15
2011-48827,15,15
2013-71161,18,18
2011-27906,20,7
2014-62149,18,18
2010-12478,16,13
2013-15243,18,15
2013-68138,21,21
2012-98024,0,0
2012-24005,21,18
2013-22437,18,17
2010-17544,17,15
1997-59690,0,0
2013-98463,0,0
2007-95956,13,0
2008-49816,15,0
2014-98857,16,16
2012-40531,21,7
2012-18204,21,18
1995-91386,0,0
2012-29859,17,15
2014-72470,18,18
2014-98826,17,17
2012-01170,21,21
2010-58704,20,11
2012-17586,21,13
2014-35278,20,20
2012-22865,19,15
2013-98640,0,0
2012-98020,0,0
2011-37454,19,6
2011-97693,21,13
2008-42904,0,0
2012-38472,20,20
2011-97370,21,15
2010-19943,17,3
2011-22919,18,12
2013-09386,21,21
2010-08135,21,14
2014-27277,18,18
2009-03083,19,9
2012-56019,20,18
2014-72677,19,19
2014-75607,21,21
2011-34334,16,0
2012-37835,18,15
2014-42401,20,20
2008-60129,17,15
2011-18308,19,19
2011-26809,18,16
2013-25212,21,21
2012-27477,18,18
2014-40842,15,15
2014-73098,19,19
2012-25335,17,15
2012-97917,18,0
2012-66472,19,19
2014-21767,17,17
2012-32966,18,18
2014-99093,0,0
2013-06132,19,17
2013-98665,15,15
2011-03545,21,21
2000-95409,0,0
2011-29333,21,21
2009-19047,20,10
2008-09286,0,0
2009-44216,19,0
2012-29829,17,15
2009-17307,16,0
2013-98314,18,15
2013-40682,19,17
2010-19902,21,21
2014-98859,15,14
2007-12721,20,0
2012-37758,12,6
2014-09551,20,20
1988-30923,0,0
2013-48550,18,18
2013-09762,21,19
2013-98280,21,0
2011-21745,20,0
2005-45632,0,0
2014-32906,20,20
2006-73332,0,0
2010-46050,17,15
2009-96851,0,0
2011-62694,18,18
2014-28532,17,17
2013-06480,18,18
2012-01042,19,12
2011-47794,18,12
2012-20579,19,18
2014-23682,18,18
2004-40567,0,0
2014-53057,18,18
2007-17839,15,8
2014-98858,12,10
2013-21712,18,18
2010-29370,21,7
2009-64347,19,2
2014-63544,19,19
2013-22507,20,11
2013-47482,18,18
2013-68153,18,18
2013-08936,19,17
2014-45787,15,15
2009-23586,17,3
2012-19235,19,18
2004-38659,21,20
2013-15785,17,17
2010-15245,20,19
2012-00633,18,18
2014-28533,18,18
2011-97442,21,9
2009-23313,16,0
2014-00282,20,19
2014-27819,15,13
2013-09036,18,18
2009-17977,15,15
2009-17978,12,12
2011-29092,19,10
2011-55023,18,15
2014-01174,19,18
2010-96907,21,13
2014-57769,18,18
2012-31889,18,12
2014-10138,19,17
2010-51054,21,21
2013-13022,18,18
2013-02331,18,15
2009-10042,20,20
2014-70482,19,19
2004-54089,0,0
2014-98860,16,16
2010-42724,18,0
2012-20946,18,17
2012-12979,18,15
2006-17736,0,0
2010-39256,18,3
2006-40316,0,0
2009-45749,17,15
1997-60544,0,0
2014-48425,19,19
2014-37731,17,17
2014-28219,19,19
2012-03698,20,14
2010-00248,21,4
2011-34965,19,4
2013-29953,18,18
2006-30473,16,3
2008-18622,18,18
2014-72472,20,20
2013-04595,17,17
2010-24709,20,18
2014-21448,19,19
2009-19738,19,3
2014-09914,18,18
2011-48752,21,15
2013-06920,15,13
2013-30521,21,21
2014-27668,19,19
2010-02843,19,0
2011-45376,18,18
2014-23589,18,18
2014-48645,20,20
2011-13793,15,3
2013-14752,17,17
2011-65215,20,18
2013-98315,18,18
2014-05021,20,20
2009-96649,19,1
2008-17845,16,12
1996-94014,0,0
2011-36143,15,9
2012-17618,21,10
2006-95759,0,0
2008-15623,21,13
2008-07434,19,1
2013-22979,18,18
2012-37574,19,15
2006-35483,0,0
2011-48328,19,0
2014-71926,21,19
2013-06538,18,18
2013-68061,21,21
2010-13589,17,0
2008-07278,0,0
2011-46682,17,0
2013-51048,21,21
2012-19442,21,21
2011-51090,12,12
2012-27791,20,18
2007-58384,18,9
2010-41119,16,6
2014-28464,20,19
2014-72664,19,17
2014-47747,20,20
2003-30434,0,0
2012-71126,12,10
2013-50511,18,18
2013-14758,18,0
2012-16961,23,23
2011-25725,15,14
2014-48664,20,20
2002-71709,0,0
2014-03244,18,18
2014-71968,17,17
2010-40034,19,5
2013-42012,18,18
2011-01190,16,0
2013-15185,18,18
2013-28901,20,20
2009-48481,20,20
2013-98212,18,18
2013-02744,21,18
2010-19407,19,0
2012-55263,20,20
2013-09018,18,18
2013-06985,12,11
2007-55614,0,0
2012-38942,18,18
2013-09093,17,17
2012-19399,18,15
2013-37462,21,20
2012-98152,19,18
2014-49711,18,18
2013-98316,17,15
2012-10760,21,18
2010-01694,19,9
2013-09743,18,18
2010-51788,19,0
2012-31815,20,20
2014-71867,19,19
2012-19336,18,13
2007-50608,19,0
2010-57088,17,12
2011-34467,20,18
2008-30583,15,0
2010-10091,19,9
1999-79158,0,0
2014-26571,19,19
2014-45360,20,20
2005-43488,0,0
2014-71490,18,18
2012-14153,18,18
2012-20586,18,18
2014-99098,0,0
2012-39400,20,16
2012-37239,18,18
2012-97805,15,0
2011-36391,17,0
2006-23401,17,0
2014-83099,19,17
2010-61040,18,6
1994-36823,0,0
2011-48828,19,15
2011-97342,16,10
2010-41563,18,4
2008-19116,21,9
2008-69926,19,0
2013-20083,12,11
2013-98317,18,18
2014-23098,18,18
2011-06366,21,18
2013-25129,18,0
2012-27213,21,21
2014-70539,18,18
2011-48849,15,15
2007-65540,16,3
2006-38321,21,0
2012-19508,20,17
2007-10230,20,10
2012-98016,0,0
1985-45421,0,0
2011-05336,17,12
2013-39404,18,0
2012-14501,18,13
2013-02332,20,19
2012-70220,20,20
2001-79992,0,0
2013-01482,18,18
2014-00710,21,21
2013-36474,18,18
2010-22902,19,11
2013-09019,20,20
2012-59157,19,18
2010-12087,18,3
2011-24403,19,5
2011-97634,0,0
2012-10244,18,12
2009-17164,16,0
2014-12769,19,19
2011-23984,21,18
2014-06365,21,21
2005-46695,0,0
2013-40020,21,21
2014-08315,19,19
2012-17619,18,13
2006-95724,0,0
2010-00641,18,0
2010-97109,0,0
2008-38623,0,0
2013-22862,18,18
2014-98771,18,18
2013-60642,20,18
2011-29136,18,6
2005-47409,0,0
2012-97918,18,13
1992-37017,0,0
2014-99096,0,0
2012-18029,18,9
1998-62600,0,0
1999-62456,0,0
2010-52799,19,0
2009-52078,18,15
2011-20686,19,0
2012-51825,17,15
2014-60947,20,20
2014-51280,18,18
2013-98533,0,0
2014-35456,20,19
2012-52925,12,10
2014-09014,18,18
2013-05970,20,20
2011-20996,17,6
2014-98861,16,16
2011-97357,18,16
2014-98809,20,20
2013-00711,18,18
2014-71943,20,20
2011-42019,21,20
2013-30409,18,18
2012-21758,18,18
2011-01211,16,0
2012-44285,12,6
2009-17434,0,0
2013-72503,23,23
2007-16200,0,0
2014-51870,21,21
2013-24723,20,18
2013-60644,18,18
2013-57788,23,22
2013-09732,20,19
2012-66325,19,18
2012-56177,20,18
2013-06133,19,17
2011-22684,19,18
2003-55911,0,0
2010-00250,16,9
2013-38233,20,20
2012-62716,19,18
2011-19960,18,15
2014-09380,19,19
2012-97806,21,20
2011-47110,18,21
2014-14724,17,16
2013-27989,18,0
2011-48410,16,0
2012-00245,19,16
2012-44076,19,18
2011-22302,18,12
2009-38593,18,1
2004-44423,0,0
2013-17847,18,18
2013-49998,18,18
2013-49997,18,18
2012-45232,17,15
2014-98813,20,18
2004-38928,0,0
2014-98862,15,14
2012-17972,19,17
2011-62453,18,6
2013-98213,15,6
2012-53867,15,15
2013-08207,21,18
2013-41111,18,15
2013-68215,15,14
2014-09509,18,16
2012-97881,0,0
1985-91341,0,0
2012-97920,18,18
2009-96683,15,6
2012-07060,17,3
2013-67822,18,18
2014-99002,0,0
2009-96679,19,0
2014-66433,20,20
2005-47391,16,0
2013-08900,17,17
2013-08214,20,20
2014-72648,17,15
2013-36457,21,21
2014-72511,18,18
2011-48978,12,12
2013-70280,18,18
2013-98675,19,19
2014-16820,18,18
2010-38534,19,0
2014-09624,19,19
2014-99091,0,0
2000-95108,0,0
2000-95508,0,0
2013-07606,21,21
2014-56078,19,19
2013-52048,18,18
2013-57046,18,18
2014-01881,20,19
2012-50023,19,15
2011-05109,21,0
2013-08548,21,21
2012-14228,19,19
2011-03454,19,21
2014-72720,17,17
2012-37909,19,15
2005-43566,0,0
2008-37142,19,9
2013-25384,18,15
2013-06371,20,20
2008-46137,0,0
2013-68135,21,21
2014-99167,18,18
2010-08822,19,13
2009-00362,18,0
2008-03466,0,0
2013-01375,20,11
2013-13692,18,18
2011-09266,12,11
2013-75564,20,12
2013-20484,21,21
2012-49743,19,18
2013-30410,18,18
2013-68063,18,0
2013-98500,0,0
2012-17895,21,15
2011-34775,19,13
2014-99235,0,0
2012-07359,18,18
2010-07333,19,0
2013-09020,18,18
2014-30278,18,18
2002-96238,21,12
2014-71350,21,21
2013-98643,0,0
2014-16698,18,18
2011-64383,19,10
2014-12960,20,18
2014-43271,18,18
2013-14759,17,17
2011-27069,20,10
1987-01189,0,0
2013-27770,21,21
