ABM 103,Introduction to Agribusiness Management  
DM 230,Planned Change in Development  
DM 241,Managerial Leadership  
DM 291,Special Topics  
DM 298,Field Studies in Development Management  
DM 299,Graduate Seminar on Development Management  
DSC 130,Dairy Production  
DSC 135,Introduction to Dairy Technology  
DSC 136,Milk Hygiene  
DSC 137,Cheese Technology  
DSC 230,Advances in Dairy Production  
DSC 235,Dairy Products Processing I  
DSC 236,Dairy Products Processing II  
DSC 240,Quality Control of Milk Products  
DSC 268,Physiology of Lactation  
DSC 290,Special Problems  
DSC 291,Special Topics in Dairy Science  
DSC 299,Graduate Seminar  
ECMA A,Agricultural Business Systems  
ECO 101,Intermediate Macroeconomic Theory  
ECO 102,Intermediate Microeconomic Theory  
ECO 104,Introduction to Factor Market Analysis, General Equilibrium and Welfare Economics  
ECO 106,Consumption Economics  
ECO 11,General Economics  
ECO 110,History of Economic Doctrines  
ECO 113,Comparative Economic Systems  
ECO 115,Philippine Economic History  
ECO 121,Money and Banking  
ECO 130,Elements of Mathematical Economics  
ECO 137,Introduction to Quantitative Economics  
ECO 141,International Economics  
ECO 151,Government Finance  
ECO 171,Introduction to Natural Resource Economics  
ECO 175,Benefit Cost Analysis  
ECO 181,Human Resource Economics  
ECO 185,Development Economics  
ECO 190,Special Problems  
ECO 191,Special Topics  
ECO 199,Undergraduate Seminar  
ECO 200,Undergraduate Thesis  
ECO 201,Macroeconomic Theory I  
ECO 202,Microeconomic Theory I  
ECO 237,Econometrics  
ECO 290,Special Problems  
ECO 291,Special Topics  
ECO 299,Graduate Seminar in Economics  
EDUC A,The Educative Process  
EDUC B,Science Teaching and Testing  
EE 1,Basic Electrical Engineering  
EE 11,Fundamentals of Electrical Engineering I  
EE 12,Fundamentals of Electrical Engineering II  
EE 120,Digital Electronics  
EE 126,Industrial Electronics  
EE 130,Fundamentals of Instrumentation  
EE 141,Electrical Machines  
EE 145,Electrical Equipment and Devices  
EE 148,Electrical Machine Design  
EE 15,Linear Systems Analysis  
EE 151,Fundamentals of Electrical Power Systems  
EE 155,Rural Electrification Engineering  
EE 158,Electrical System Design  
EE 159,Industrial Power Systems  
EE 160,Digital Hardware Design  
EE 165,Microprocessor-Based Design  
EE 170,Signals and Noise in Communication Systems  
EE 171,Fundamentals of Communication Systems  
EE 179,Antenna Engineering  
EE 18,Introduction to Electromagnetic Fields  
EE 181,Maintainability Engineering  
EE 185,Engineering Production Systems  
EE 190,Special Problems  
EE 191,Special Topics  
EE 199,Undergraduate Seminar  
EE 200,Undergraduate Thesis  
EE 200a,Practicum  
EE 21,Fundamentals of Electronics  
EE 41,Electromechanical Energy Conversion  
EE A,Power Electronics  
EE B,Electronic Devices  
EE C,Electronic Design Engineering  
EE D,Special Problems  
EE E,Practicum  
EM A,Fundamentals of Environmental Ethics and Management  
EM B,Environmental Assessment I  
EM C,Community - Based Environmental Management  
EM D,Environmental Assessment II  
EM E,Introduction to Environmental Policy Analysis  
EM F,Introduction to Ecological Economics  
EM G,Field Practicum  
ENG 0,Tutorial English  
ENG 10,Writing of Scientific Papers  
ENG 101,English Prose Styles  
ENG 102,Business and Professional Reports  
ENG 103,Critical Writing  
ENG 104,Argument  
ENG 105,Playwriting  
ENG 106,Creative Writing  
ENG 107,Mythology and Folklore  
ENG 4,Masterpieces in World Literature  
ENG 5,Expository Writing  
ENG A,Fundamentals of English I  
ENG B,Fundamentals of English II  
ENG C,English for Science and Technology  
ENS 201,Ecosytem Structure and Dynamics  
ENS 202,Landscape Ecology  
ENS 203,Advanced Aquatic Ecology  
ENS 204,Issues in Aquatic Resources Management  
ENS 211,Systems Analysis and Quantitative Methods in Natural Resources Management  
ENS 220,Institutions and the Environment  
ENS 270,Dynamics of Population, Resources and Environment  
ENS 275,Contemporary Issues in Environment and Development  
ENS 290,Special Problems  
ENS 291,Special Topics  
ENS 296,Environmental Impact Assessment: Perspectives from the Natural and Social Sciences  
ENS 299,Graduate Seminar  
ENS 300,Master’s Thesis  
ENS 400,Doctoral Dissertation  
ENSC 1,Introduction to Engineering  
ENSC 10a,Engineering Graphics I  
ENSC 10b,Engineering Graphics II  
ENSC 11,Statics of Rigid Bodies  
ENSC 11a,Engineering Mechanics  
ENSC 12,Dynamics of Rigid Bodies  
ENSC 13,Strength of Materials  
ENSC 14,Basic Thermodynamics  
ENSC 14a,Engineering Thermodynamics and Heat Transfer  
ENSC 15,Fundamentals of Heat Transfer  
ENSC 16,Fluid Mechanics  
ENSC 16b,Fluid Mechanics Laboratory  
ENSC 17,Kinematics and Dynamics of Machinery  
ENSC 18,Materials of Engineering  
ENSC 21,Mathematical Methods in Engineering  
ENSC 26,Computer Applications in Engineering  
ENSC 90,Engineering Ethics  
ENT 101,General Entomology  
ENT 110,Insect Morphology  
ENT 120,Insect Physiology  
ENT 125,Insecticide Toxicology  
ENT 140,Insect Taxonomy  
ENT 146,Acarology  
ENT 151,Insect Ecology  
ENT 170,Crop Protection Entomology  
ENT 172,Biological Control of Insect Pests  
ENT 174,Postharvest and Storage Pests  
ENT 176,Medical and Veterinary Entomology  
ENT 190,Special Problems  
ENT 191,Special Topics  
ENT 195,Entomological Techniques  
ENT 199,Undergraduate Seminar  
ENT 200,Undergraduate Thesis  
ENT 200a,Major Practice  
ENT 209,History of Entomology  
ENT 220,Advanced Insect Physiology  
ENT 225,Advanced Insecticide Toxicology  
ENT 240,Advanced Insect Taxonomy  
ENT 246,Taxonomy of Immature Insects  
ENT 247,Aphidology  
ENT 251,Advanced Insect Ecology  
ENT 271,Insect Transmission of Plant Pathogens  
ENT 272,Biology of Entomophagous Insects  
ENT 275,Insect Pathology  
ENT 277,Economic Acarology  
ENT 279,Insect Resistance in Plants  
ENT 290,Special Problems  
ENT 291,Special Topics  
ENT 295,Pesticide Residues  
ENT 299,Graduate Seminar in Entomology  
ENT 300,Master’s Thesis  
ENT 400,Doctoral Dissertation  
EXCO A,Dynamics of Rural Development  
EXCO B,Planning, Implementation and Evaluation of Communication Programs  
EXCO C,Extension Delivery Systems  
FBS 1,Forest Botany   
FBS 101,Forest Biodiversity  
FBS 126,Forest Entomology  
FBS 127,Insect Ecology  
FBS 130,Forest Tree Physiology  
FBS 136,Forest Ecology  
FBS 140,Forest Mycology  
FBS 146,Forest Microbiology  
FBS 150,Field Experience in Forest Biological Sciences  
FBS 151,Microtechnique of Woody Plants  
FBS 161,Plant Anatomy  
FBS 167,Plant Taxonomy  
FBS 172,Forest Genetics  
FBS 177,Cytology  
FBS 181,Research Techniques in Forest Biology  
FBS 190,Special Problems  
FBS 191,Special Topics  
FBS 199,Undergraduate Seminar  
FBS 200,Undergraduate Thesis  
FBS 200a,Practicum in Forest Biological Sciences  
FBS 204,Architecture of Tropical Trees  
FBS 21,Taxonomy of Forest Plants  
FBS 228,Insects in Relation to Plant Diseases  
FBS 229,Principles of Forest Entomology  
FBS 23,Identification of Commercial Trees  
FBS 230,Advanced Forest Tree Physiology  
FBS 24,Dendrology   
FBS 240,Phytopathological Methods  
FBS 241,Advanced Forest Pathology  
FBS 242,Control of Forest Tree Diseases  
FBS 244,Advanced Forest Mycology I  
FBS 245,Advanced Forest Mycology II  
FBS 25,Forest Insect Pests and Diseases  
FBS 256,Photomicrography  
FBS 26,Introduction to Forest Entomology  
FBS 27,Forest Products Entomology  
FBS 290,Special Problems  
FBS 291,Special Topics  
FBS 299,Graduate Seminar  
FBS 31,Plant Physiology  
FBS 36,Fundamentals of Forest Ecology  
FBS 4,Tree Morphology and Taxonomy   
FBS 41,Forest Pathology  
FBS 42,Forest Products Pathology  
FBS 71,Fundamentals of Genetics  
FBS 9,Forest Zoology  
FIL 150,Ang Pagsulat ng Kuwentong Popular  
FIL 20,Mga Piling Katha ng mga Manunulat na Pilipino  
FIL 21,Poklorikong Pilipino  
FIL I,Sining ng Pakikipagtalastasan  
FOR 1,General Forestry  
FOR 110,Introduction to Protected Area Management  
FOR 150,Forestry Practicum  
FOR 191,Special Topics  
FOR 300,Master’s Thesis  
FOR 31,Elementary Forest Protection  
FOR 400,Doctoral Dissertation  
FPPS 11,Wood Structure and Identification  
FPPS 111,Wood and Fiber Anatomy  
FPPS 112,Bark Structure and Properties  
FPPS 121,Wood Physics 1  
FPPS 122,Sawmilling  
FPPS 124,Timber Mechanics  
FPPS 125,Wooden Structures  
FPPS 126,Wood Physics and Mechanics  
FPPS 127,Properties and Utilization of Forest Products  
FPPS 128,Non-Timber Forest Products  
FPPS 131,Wood Chemistry 1  
FPPS 132,Pulp and Paper Technology  
FPPS 134,Wood Finishing  
FPPS 136,Chemical Properties and Processing of Forest Products  
FPPS 139,Fundamentals of Wet-End Chemistry in Paper Making  
FPPS 140,Environmental Pollution in Forest Industries  
FPPS 141,Lumber Manufacture and Grading  
FPPS 144,Machining of Forest Products  
FPPS 151,Seasoning of Wood and Related Products  
FPPS 161,Preservation of Wood and Related Products  
FPPS 171,Adhesives and Gluing  
FPPS 172,Glued Wood Products Technology  
FPPS 181,Quality Control  
FPPS 182,Production Planning and Control  
FPPS 183,Engineering Economic Analysis  
FPPS 184,Economics of Wood-Using Industries  
FPPS 190,Special Problems  
FPPS 191,Special Topics  
FPPS 199,Undergraduate Seminar  
FPPS 200,Undergraduate Thesis  
FPPS 200a,Practicum  
FPPS 42,Forest Products Utilization 1  
FPPS 43,Forest Products Utilization 2  
FPPS 91,Forest Products Industries  
FPPS 92,Forest Products  
FR 12,Forest Seed Plants  
FR 16,Elementary Forestry Economics  
FR 31,Elementary Forest Protection  
FR 38,Forest Administration  
FRCH 10,Elementary Grammar and Composition  
FRCH 11,Elementary Grammar and Composition  
FRCH 12,Intermediate French  
FRCH 13,Intermediate French  
FRM 1,Introduction to Forestry  
FRM 100,Introduction to Forest Resources Management  
FRM 103,Introduction to Remote Sensing  
FRM 104,Introduction to Geographic Information Systems  
FRM 110,Fundamentals of Environmental Forest Management 
FRM 116,Accounting  
FRM 117,Forestry Economics  
FRM 118,Forest Finance  
FRM 130,Forest Range Management  
FRM 140,Parks and Outdoor Recreation Management  
FRM 153,Watershed Management  
FRM 16,Fundamentals of Small-scale Forest-based Enterprises  
FRM 161,Aerial Photo Interpretation  
FRM 162,Remote Sensing and Geographic Information System  
FRM 164,Sampling Methods in Forestry  
FRM 165,Forest Surveys  
FRM 167,Experimental Designs in Forestry Research  
FRM 171,Forestry Business Management  
FRM 183,Timber Production Management  
FRM 184,Integrated Forest Resource Management  
FRM 185,Timber Management  
FRM 186,Forest Management 1  
FRM 187,Forest Management 2  
FRM 188,Forest Development Planning  
FRM 189,Elements of Multiple-Use Forestry  
FRM 190,Special Problems  
FRM 191,Special Topics  
FRM 192,Timber Harvesting  
FRM 193,Logging Roads  
FRM 194,Production Planning and Control in Logging Operations  
FRM 195,Forest Infrastructure  
FRM 196,Logging Plans and Costs  
FRM 199,Undergraduate Seminar  
FRM 2,Elements of Forest Production  
FRM 200,Undergraduate Thesis  
FRM 200a,Practicum in Forest and Environmental Resource Management  
FRM 201,Planning and Evaluation of Forestry Research  
FRM 204,Geospatial Methods in Natural Resources Management  
FRM 214,Introduction to Operations Research  
FRM 217,Advanced Forestry Economics  
FRM 227,Economic Analysis of Forest Policy  
FRM 253,Advanced Watershed Management  
FRM 261,Aerial Photo Mensuration  
FRM 262,Photogrammetry  
FRM 264,Advanced Forest Mensuration  
FRM 286,Advanced Forest Management  
FRM 287,Economic Analysis in Forest Management  
FRM 289,Multiple-Use Forestry  
FRM 290,Special Problems  
FRM 291,Special Topics  
FRM 292,Log Transportation Systems  
FRM 293,Logging Operations Planning  
FRM 294,Optimization Models in Forestry  
FRM 299,Graduate Seminar  
FRM 61,Forest Biometry  
FRM 62,Forest Mensuration  
FRM 90,Elementary Forestry Cartography  
FRM 91,Forest Surveying  
FRM 92,Forest Engineering  
FRM 93,Elementary Forest Surveying and Mapping  
FRM 94,Forest Products Harvesting  
FST 101,Food Chemistry  
FST 130,Food Engineering I  
FST 131,Food Engineering II  
FST 140,Food Processing I  
FST 141,Food Processing II  
FST 145,Fruits and Vegetable Processing  
FST 146,Processing of Oilseeds and Oils  
FST 147,Principles of Product and Process Development  
FST 150,Sensory Evaluation of Food Products  
FST 155,Food Hygiene and Sanitation  
FST 160,Food Processing Management  
FST 190,Special Problems  
FST 191,Special Topics  
FST 199,Undergraduate Seminar  
FST 200,Undergraduate Thesis  
FST 200a,Plant Practice  
FST 202,Food Analysis  
FST 210,Food Biochemistry  
FST 212,Advances in Food Protein and Enzymes  
FST 213,Advances in Food Lipids  
FST 214,Advances in Food Carbohydrates  
FST 219,Postharvest Biochemistry of Fruits and Vegetables  
FST 220,Microbiological Aspects of Food Processing  
FST 221,Advanced Food Microbiology  
FST 235,Thermal Processing  
FST 236,Dehydration and Freezing  
FST 240,Tropical Food Processing  
FST 241,Tropical Fruits and Vegetables Processing  
FST 242,Processing Protein-Rich Foods  
FST 290,Special Problems  
FST 291,Special Topics  
FST 299,Graduate Seminar in Food Science and Technology  
FST 300,Master’s Thesis  
FST 400,Doctoral Dissertation  
GEO 40,Elementary Mineralogy  
GER 1a,First Course in German  
GER 1b,First Course in German  
GER 2a,Intermediate German  
GER 2b,Intermediate German  
HFDS 11,Principles of Human Development  
HFDS 111,Personality Theory  
HFDS 112,Behavior Change  
HFDS 113,The Adolescent  
HFDS 114,Adulthood and Aging  
HFDS 12,Human Physiology  
HFDS 121,Human Sexuality  
HFDS 122,Migration  
HFDS 13,Child Psychology  
HFDS 131,Work Management  
HFDS 14,Child Development  
HFDS 152,Advanced Clothing Design  
HFDS 156,Textile Evaluation  
HFDS 162,The Preschool Curriculum  
HFDS 21,Family and Society  
HFDS 22,Family Relationships  
HFDS 221,Family Behavior  
HFDS 222,Problems in Family Relations  
HFDS 231,Family Management  
HFDS 232,Consumer Behavior  
HFDS 243,Experimental Craft Design  
HFDS 256,Consumer Textiles  
HFDS 31,Family and Community Resource Management I  
HFDS 32,Family and Community Resource Management II  
HFDS 41,Fundamentals of Design  
HFDS 43,Craft Design  
HFDS 44,Housing  
HFDS 45,Household Equipment and Fixtures  
HFDS 51,Clothing Resource  
HFDS 52,Basic Clothing Design  
HIST 140,The Revolutionary Tradition in Philippine History  
HIST 150,Modern Imperialism and Nationalism  
HIST 151,American Colonialism and Imperialism in the Philippines  
HIST I,Philipine History  
HIST II,Asia and the World  
HK A,History and Theory of Physical Education  
HK B,Human Anatomy and Physiology  
HK C,Exercise Physiology  
HK D,Administration and Supervision of Physical Education  
HK E,Physical Fitness Programs  
HK F,First Aid  
HK G,Adapted Physical Education  
HK H1,Basketball  
HK H2,Volleyball  
HK H3,Baseball and Softball  
HK H4,Soccer  
HK H5,Badminton  
HK H6,Table Tennis  
HK H7,Lawn Tennis  
HK I,Aquatics  
HK J,Track and Field  
HK K,Gymnastics: Free hand and Light Apparatus Exercises  
HK L,Judo  
HK M,Fundamental Rhythms  
HK N1,Folk Dance  
HK N2,Modern Dance  
HK N3,Jazz  
HK O,Philippine Games  
HK P1,Recreation and Leisure  
HK P2,Outdoor Recreation  
HNF 11,Food Selection and Preparation  
HNF 111,Food Management  
HNF 12,Food Preservation  
HNF 121,Advanced Human Nutrition  
HNF 123,Nutritional Assessment  
HNF 124,Nutrition Education  
HNF 131,Food Service System I  
HNF 132,Food Service System II  
HNF 151,Food and Nutrition Systems  
HNF 152,Food and Nutrition Research  
HNF 198,Field Practice  
HNF 21,Food and Nutrition  
HNF 211,Food and Culture  
HNF 22,Nutrition in Human Development  
HNF 221,Biochemical Aspects of Human Nutrition  
HNF 222,Nutrition in Health and Disease  
HNF 223,Evaluation of Nutritional Status  
HNF 224,Nutritional Epidemiology  
HNF 225,Nutritional Physiology  
HNF 251,Ecology of Food and Nutrition  
HNF 252,Food and Nutrition Planning  
HNF 253,Workshop in Food and Nutrition Planning  
HNF 254,Nutrition Programs  
HNF 298,Field Studies  
HNF 41,Diet Therapy I  
HNF 42,Diet Therapy II  
HORT 106,Plant Propagation and Nursery Management  
HORT 109,Postharvest Handling and Storage of Perishable Crops  
HORT 113,Plant Tissue Culture  
HORT 115,Regulatory Processes in Horticultural Crop Production Practices  
HORT 118,Organic Horticulture  
HORT 119,Urban Horticulture  
HORT 120,Commercial Vegetable Production  
HORT 123,Vegetable Variety Identification, Maintenance and Evaluation  
HORT 125,Production and Handling of Tropical Vegetable Seeds  
HORT 130,Major Tropical Fruits  
HORT 131,Inorganic Plant Nutrition  
HORT 135,Plantation Crop Production and Management  
HORT 139,Handling, Processing and Grading of Plantation Crop Products  
HORT 140,Major Ornamental Plants in the Tropics  
HORT 141,Plant Arts  
HORT 142,Orchids and their Culture  
HORT 145,Landscape Horticulture  
HORT 146,Fundamentals of Turfgrass Management  
HORT 190,Special Problems  
HORT 191,Special Topics  
HORT 199,Undergraduate Seminar  
HORT 20,Principles of Vegetable Production  
HORT 200,Undergraduate Thesis  
HORT 200a,Major Practice  
HORT 209,Postharvest Physiology of Perishable Crops  
HORT 220,Applied Vegetable Crop Physiology  
HORT 230,Applied Fruit Crops Physiology  
HORT 231,Reproductive Crop Physiology  
HORT 234,Crop Seed Physiology  
HORT 240,Applied Ornamental Crop Physiology  
HORT 241,Plant Morphogenesis  
HORT 290,Special Problems  
HORT 291,Special Topics  
HORT 299,Graduate Seminar  
HORT 30,Principles of Fruits and Plantation Crops Production  
HORT 300,Master’s Thesis  
HORT 40,Ornamental Horticulture  
HORT 400,Doctoral Dissertation  
HTM A,Household Resource Management  
HTM B,Family Ecology and Dynamics  
HTM C,Small Household Enterprises  
HUM 160,Science and Technology in Literature  
HUM 170,Philippine Art and Society  
HUM I,Literature, Man & Society  
HUM II,Art, Man & Society  
HUME 1,Introduction to Human Ecology  
HUME 101,Human Ecological Perspectives in Development  
HUME 102,Ecology and Value Systems  
HUME 103,Social Policies  
HUME 190,Special Problems  
HUME 191,Special Topics  
HUME 196,Research Methods in Human Ecology  
HUME 198,Supervised Field Experience  
HUME 199,Seminar  
HUME 199a,Seminar in Human Ecology  
HUME 199b,Seminar in Human Ecology  
HUME 2,Man and His Environment  
HUME 200,Undergraduate Thesis  
HUME 290,Special Problems  
HUME 291,Special Topics  
HUME 299,Graduate Seminar  
HUME 300,Graduate Thesis  
HUME 400,Doctoral Dissertation  
IE 134,Ergonomics  
IE 135,Industrial Quality Control  
IE 136,Industrial Safety and Health  
IE 141,Operations Research I  
IE 142,Operations Research II  
IE 150,Systems Evaluation  
IE 151,Production Systems  
IE 152,Manufacturing Planning and Design  
IE 153,Project Development and Management  
IE 154,Informations Systems I  
IE 155,Industrial Systems Design  
IE 156,Information Systems II  
IE 181,Systems Simulation  
IE 183,Stochastic Processes in Industrial Engineering  
IE 190,Special Problems  
IE 191,Special Topics  
IE 199,Undergraduate Seminar  
IE 200,Undergraduate Thesis  
IE 200a,Practicum  
IE 21,Industrial Processes  
IE 3,Introduction to Industrial Engineering  
IE 31,Industrial Organization and Management  
IE 32,Methods of Engineering  
JAP 10,Elementary Japanese I  
JAP 11,Elementary Japanese II  
LGD 210,Governance and Development  
LGD 211,Delivery Systems for Public Services  
LGD 213,Local Fiscal Management  
LGD 215,Human Resource Management in Local Government Units  
LGD 216,Organizational Development in Local Government Units  
LGD 291,Special Topics  
LGD 298,Field Studies  
LGD 299,Graduate Seminar  
MATH 101,Logic and Set Theory  
MATH 103,Elementary Theory of Numbers  
MATH 11,College Algebra  
MATH 110,Higher Algebra  
MATH 111,Modern Algebra I  
MATH 112,Modern Algebra II  
MATH 120,Linear Algebra  
MATH 133,Non-Euclidean Geometries  
MATH 135,Projective Geometry  
MATH 14,Plane Trigonometry  
MATH 141,Introductory Combinatorics  
MATH 143,Graph Theory  
MATH 151,Ordinary Differential Equations  
MATH 152,Partial Differential Equations  
MATH 155,Advanced Calculus I  
MATH 156,Advanced Calculus II  
MATH 160,Vector Analysis  
MATH 165,Complex Analysis I  
MATH 166,Complex Analysis II  
MATH 168,Introductory Topology  
MATH 17,Algebra and Trigonometry  
MATH 170,Finite Differences  
MATH 174,Numerical Analysis I  
MATH 175,Numerical Analysis II  
MATH 18,College Geometry  
MATH 181,Introduction to Probability Theory  
MATH 182,Introduction to Stochastic Processes  
MATH 190,Special Problems  
MATH 191,Special Topics  
MATH 192,Foundations of Mathematics  
MATH 199,Undergraduate Seminar  
MATH 211,Abstract Algebra   
MATH 213,Theory of Matrices  
MATH 222,Finite Geometrics  
MATH 225,Topology  
MATH 230,Real Analysis  
MATH 231,Functions of a Complex Variable  
MATH 26,Analytic Geometry and Calculus I  
MATH 27,Analytic Geometry and Calculus II  
MATH 28,Analytic Geometry and Calculus III  
MATH 290,Special Problems  
MATH 291,Special Topics  
MATH 299,Graduate Seminar  
MATH 300,Master’s Thesis  
MATH 36,Mathematical Analysis I  
MATH 37,Mathematical Analysis II  
MATH 38,Mathematical Analysis III  
MATH I,Mathematics for General Education  
MBB 211,Biocomputing in Molecular Biology and Biotechnology  
MBB 240,Industrial Biotechnology  
MBB 290,Special Problems  
MBB 291,Special Topics  
MBB 299,Graduate Seminar  
MBB 300,Master's Thesis  
MCB 1,General Microbiology  
MCB 101,Advanced Microbiology  
MCB 102,General Virology  
MCB 120,Microbial Physiology  
MCB 130,Microbial Genetics  
MCB 150,Microbial Ecology  
MCB 160,Industrial Microbiology  
MCB 180,Introductory Food Microbiology  
MCB 181,Dairy Microbiology  
MCB 190,Special Problems  
MCB 199,Undergraduate Seminar  
MCB 200,Undergraduate Thesis  
MCB 200a,Practicum  
MCB 201,Advances in Microbiology  
MCB 220,Physiology of Bacteria  
MCB 230,Advanced Microbial Genetics  
MCB 240,Determinative Bacteriology  
MCB 260,Advanced Industrial Microbiology  
MCB 270,Microbial Toxins  
MCB 290,Special Problems  
MCB 291,Special Topics  
MCB 299,Graduate Seminar  
MCB 300,Master’s Thesis  
MCB 400,Doctoral Dissertation  
MGT 1,Introduction to the Enterprise and Entrepreneurship  
MGT 101,Concepts and Dynamics of Management  
MGT 109,Managerial Economics  
MGT 111,Principles of Accounting  
MGT 113,Managerial Accounting  
MGT 115,Introduction to Financial Management  
MGT 117,Investment Management  
MGT 121,Quantitative Business Analysis  
MGT 131,Introduction to Human Relations and Behavior in Organizations  
MGT 133,Personnel Management  
MGT 141,Production Management  
MGT 151,Introduction to Marketing Management  
MGT 155,International Marketing  
MGT 161,Business Law  
MGT 181,Business Policy  
MGT 201,Organization and Management  
MGT 203,Environment of Management  
MGT 207,Managerial Problem Solving and Decision-Making  
MGT 209,Economic Analysis  
MGT 213,Management Accounting and Control I  
MGT 215,Financial Management  
MGT 221,Quantitative Methods in Administration  
MGT 231,Human Behavior in Organization  
MGT 251,Marketing Management  
MGT 273,Management of Small Business  
MGT 281,Business Policy  
NASC I,Foundation of Natural Sciences I  
NASC II,Foundations of Natural Sciences II  
PA 242.1,Methods of Policy Analysis  
PAf 201,Political Economy of Public Affairs  
PAf 203,Data Analysis and Modeling for Public Affairs  
PAf 204,Ethics in Public Affairs  
PE 1,Foundations of Physical Fitness  
PE 2,Elective Physical Education Activities for Beginners  
PE 3,Elective Physical Education Activities for Intermediate Students  
PGR 261,Assessment of Genetic Diversity in Plants  
PGR 262,Plant Genetic Resources Conservation and Management  
PGR 263,Plant Genetic Resources Documentation and Information Management  
PGR 299,Graduate Seminar  
PGR 300,Master’s Thesis  
PHI I,Philippine History and Institution  
PHLO 100,Mathematical Logic I  
PHLO 102,Mathematical Logic II  
PHLO 110,Ancient Philosophy  
PHLO 111,Medieval Philosophy  
PHLO 112,Modern Philosophy  
PHLO 113,Contemporary Philosophy  
PHLO 120,Philosophical Reasoning  
PHLO 125,Indian Philosophy  
PHLO 126,Chinese Philosophy  
PHLO 150,Epistemology  
PHLO 160,Philosophy of Science  
PHLO 171,Ethics  
PHLO 172,Philosophy of Religion  
PHLO 173,Practical Ethics  
PHLO 174,Biomedical Ethics  
PHLO 175,Philosophy of Law  
PHLO 176,Social and Political Philosophy  
PHLO 181,Aesthetics  
PHLO 182,Philosophy and Semiotics  
PHLO 184,Feminist Philosophy  
PHLO 190,Directed Study  
PHLO 195,Philosophy of Language  
PHLO 197,Philosophic Problems  
PHLO 200,Undergraduate Thesis  
PHLO 9,Logic  
PHLO A,Ethics for Various Professions  
PHLO I,Philosophical Analysis  
PHYS 1,Introductory Physics  
PHYS 111,Mathematical Physics I  
PHYS 112,Mathematical Physics II  
PHYS 115,Computational Physics  
PHYS 121,Theoretical Mechanics I  
PHYS 122,Theoretical Mechanics II  
PHYS 13,General Physics II  
PHYS 131,Electromagnetic Theory I  
PHYS 132,Electromagnetic Theory II  
PHYS 151,Statistical and Thermal Physics  
PHYS 160,Structure of Matter  
PHYS 170,Solid State Physics  
PHYS 191,Special Topics  
PHYS 192,Experimental Physics  
PHYS 23,Optics and Modern Physics  
PHYS 3,General Physics I  
PHYS 71,Elementary Physics I  
PHYS 72,Elementary Physics II  
PHYS 73,Elementary Physics III  
PHYS 81,Fundamental Physics I  
PHYS 82,Fundamental Physics II  
PHYS 83,Fundamental Physics III  
PI 100,The Life and Works of Jose Rizal  
POSC 10,Principles of Government and Politics  
POSC 112,Politics of Development  
POSC 14,Philippine Government and Politics  
POSC 141,Contemporary Ideologies  
POSC 161,Political Parties and Interest Groups  
POSC 165,Contemporary Philippine Politics  
PPT 148,Instrumentation and Process Control for the Pulp and Paper Industry  
PPT 165,Pulp and Paper Engineering  
PPT 167,Pulp and Paper Plant Design  
PPT 188,Environmental Technology for the Pulp and Paper Industry  
PPT 199,Undergraduate Seminar  
PPT 200,Undergraduate Thesis  
PPT 200a,Practicum  
PPT B,Postharvest Technology for Perishable Crops in the Tropics  
PPT C,Post Production Technology of Cereals, Legumes and Plantation Crops  
PPTH 101,Principles of Plant Pathology  
PPTH 102,Control of Plant Diseases  
PPTH 103,Introductory Phytobacteriology  
PPTH 104,General Mycology  
PPTH 106,Principles of Phytonematology  
PPTH 111,Plant Disease Diagnosis  
PPTH 112,Biological Control of Plant Pathogens  
PPTH 114,Introduction to Fungal Plant Pathogens  
PPTH 115,Introductory Plant Virology  
PPTH 121,Postharvest Pathology  
PPTH 131,Research in Plant Pathology  
PPTH 141,Principles of Plant Disease Epidemiology  
PPTH 190,Special Problems  
PPTH 191,Special Topics  
PPTH 199,Undergraduate Seminar  
PPTH 200,Undergraduate Thesis  
PPTH 200a,Major Practice  
PPTH 201,Pathogenesis  
PPTH 202,Advanced Course in Plant Disease Control  
PPTH 204,Advanced Mycology 1  
PPTH 206,Advanced Phytonematology  
PPTH 212,Disease Resistance in Plants  
PPTH 214,Advanced Mycology II  
PPTH 215,Advanced Plant Virology  
PPTH 216,Taxonomy of Plant Parasitic Nematodes  
PPTH 218,Physiology of Plant Pathogenic Fungi  
PPTH 224,Advanced Taxonomy of Fungi  
PPTH 241,Advanced Plant Disease Epidemiology  
PPTH 290,Special Problems  
PPTH 291,Special Topics  
PPTH 299,Graduate Seminar  
PPTH 300,Master’s Thesis  
PPTH 400,Doctoral Dissertation  
PSY 10,General Principles of Psychology  
PSY 101,Filipino Psychology  
PSY 148,Cognitive Psychology  
PSY 155,Abnormal Psychology  
RDM A,Overview of Research and Development Management  
RDM B,Support System for Research  
RDM C,Organizational Structures, Relations and Processes in Research Systems  
RDM D,Research Project Planning, Implementation and Control  
RDM E,Technology Evaluation and Utilization  
RDM F,Research and Development Management Internship  
SDS 10,Introduction to Social Development  
SDS 11,Community Study in Human Welfare  
SDS 113,Filipino Values and Social Development  
SDS 120,Techniques in Community Organizing  
SDS 131,Adult Programs in Homemaking  
SDS 30,Design and Management of Training Programs  
SDS 31,Community Services and Programs  
SDS 32,Consumer Education  
SFFG 101,Principles and Concepts of Social Forestry  
SFFG 102,Communication Process  
SFFG 105,Transfer and Utilization of Forestry Technology  
SFFG 111,Forest Conservation  
SFFG 112,Program Planning  
